LinearMedian
Beams           : 0 to 399
DimePatch       : 30 pings
IntervAngularARC: 25° to 55°
ResolAngular    : 1°
AngIntercept   : 40°
#----------------------------------------------#
BORDO,NUM_PATCH,ANG_MEDIO,BS_MEDIO,INTERC,SLOPE,CLASSE
PS,1,-39.9975,-11.6659,-11.6662,0.11479,AMG
PS,2,-39.9985,-11.5765,-11.5767,0.10493,AMG
PS,3,-40.0057,-11.5128,-11.5121,0.11705,AMG
PS,4,-40.0078,-11.4263,-11.4253,0.13034,AMG
PS,5,-40.0147,-11.9494,-11.9481,0.092614,AMG
PS,6,-40.0051,-11.3968,-11.3962,0.12441,AMG
PS,7,-40.0037,-11.608,-11.6075,0.12009,AMG
PS,8,-39.9975,-11.8068,-11.8071,0.11931,AMG
PS,9,-40.0102,-11.8374,-11.8362,0.12318,AMG
PS,10,-40.0009,-11.9876,-11.9875,0.1162,AMG
PS,13,-39.9938,-11.8494,-11.8501,0.11949,AMG
PS,14,-40.0045,-11.6873,-11.6868,0.10871,AMG
PS,15,-40.0047,-11.8896,-11.8891,0.10451,AMG
PS,16,-40.0052,-11.896,-11.8954,0.11215,AMG
PS,17,-39.9946,-11.7659,-11.7665,0.12587,AMG
PS,18,-40.0056,-11.6913,-11.6906,0.12863,AMG
PS,21,-40.0067,-11.8306,-11.8298,0.11627,AMG
PS,22,-40.0034,-11.9341,-11.9338,0.096697,AMG
PS,23,-40.0002,-12.3555,-12.3555,0.11105,AMG
PS,24,-39.9988,-12.1714,-12.1716,0.12439,AMG
PS,25,-39.9936,-11.9499,-11.9505,0.099417,AMG
PS,26,-40.005,-12.2802,-12.2797,0.107,AMG
PS,27,-40.0078,-12.3845,-12.3838,0.097966,AMG
PS,28,-40.0059,-11.9423,-11.9418,0.092554,AMG
PS,29,-39.9996,-11.8461,-11.8462,0.11739,AMG
PS,30,-40.0082,-12.1943,-12.1933,0.12908,AMG
PS,31,-40.0058,-12.0366,-12.036,0.10902,AMG
PS,33,-40.0094,-11.9941,-11.993,0.11833,AMG
PS,34,-40.0044,-12.1267,-12.1263,0.10531,AMG
PS,35,-39.9969,-11.7753,-11.7756,0.11702,AMG
PS,36,-39.9942,-12.2096,-12.2102,0.10381,AMG
PS,37,-39.9993,-12.2503,-12.2504,0.13489,AMG
PS,38,-40.0002,-11.8181,-11.8181,0.12097,AMG
PS,39,-40.0017,-11.9485,-11.9483,0.11527,AMG
PS,40,-40.0058,-12.2245,-12.2238,0.1231,AMG
PS,41,-40.0066,-11.9212,-11.9205,0.10127,AMG
PS,42,-40.0018,-11.796,-11.7958,0.11346,AMG
PS,43,-40.0005,-11.7628,-11.7627,0.14471,AMG
PS,44,-39.9971,-11.7035,-11.7038,0.1109,AMG
PS,45,-40.0062,-12.2376,-12.2368,0.12774,AMG
PS,48,-39.9929,-11.8589,-11.8597,0.11312,AMG
PS,49,-39.9947,-11.8023,-11.8028,0.095171,AMG
PS,50,-39.9996,-12.3478,-12.3478,0.10127,AMG
PS,51,-39.9962,-12.1068,-12.1071,0.088487,AMG
PS,52,-40.0024,-12.029,-12.0287,0.11975,AMG
PS,53,-39.9957,-11.7691,-11.7696,0.094101,AMG
PS,54,-39.9997,-12.1054,-12.1054,0.13406,AMG
PS,55,-39.9988,-12.0835,-12.0836,0.075607,AMG
PS,56,-40.0047,-12.0911,-12.0905,0.11368,AMG
PS,57,-39.9964,-12.1795,-12.1799,0.11161,AMG
PS,58,-40.0087,-12.16,-12.1594,0.075801,AMG
PS,59,-39.9967,-12.452,-12.4523,0.11682,AMG
PS,60,-39.9989,-11.8881,-11.8882,0.078651,AMG
PS,61,-40.0034,-11.972,-11.9717,0.082675,AMG
PS,62,-40.0061,-11.6245,-11.6239,0.096553,AMG
PS,63,-39.9965,-12.1806,-12.181,0.11859,AMG
PS,64,-40.0004,-11.8531,-11.8531,0.10146,AMG
PS,65,-40.0075,-12.0828,-12.0819,0.11859,AMG
PS,66,-40.0038,-11.8124,-11.812,0.10303,AMG
PS,67,-40.0059,-11.943,-11.9424,0.0922,AMG
PS,68,-39.9882,-12.1109,-12.1121,0.10547,AMG
PS,69,-40.0009,-12.1576,-12.1575,0.10584,AMG
PS,70,-40.0049,-12.1178,-12.1173,0.11424,AMG
PS,71,-40.0018,-11.9528,-11.9526,0.12786,AMG
PS,72,-40.0136,-12.0972,-12.0961,0.079599,AMG
PS,73,-40.0039,-11.6025,-11.6021,0.11132,AMG
PS,74,-40.0029,-11.9863,-11.986,0.11223,AMG
PS,75,-39.9924,-11.7377,-11.7385,0.10115,AMG
PS,76,-40.0024,-11.7344,-11.7341,0.12856,AMG
PS,7,-40.0145,-13.6376,-13.6358,0.12366,AG
PS,11,-39.994,-13.6132,-13.6144,0.1996,AG
PS,12,-40.0017,-13.6454,-13.6451,0.2281,AG
PS,14,-40.0099,-13.5442,-13.5425,0.17272,AG
PS,15,-40.0093,-13.5741,-13.5725,0.1787,AG
PS,17,-39.9989,-13.4231,-13.4234,0.26258,AG
PS,18,-40.0076,-13.5048,-13.5029,0.26154,AG
PS,19,-40.0049,-13.5322,-13.5313,0.19502,AG
PS,20,-39.9828,-13.6056,-13.6095,0.2309,AG
PS,21,-40.001,-14.0489,-14.0487,0.26466,AG
PS,22,-40.0049,-13.5671,-13.5658,0.27202,AG
PS,23,-40.0093,-14.1978,-14.1957,0.23228,AG
PS,24,-40.0025,-13.9198,-13.9193,0.22048,AG
PS,25,-39.9999,-13.7614,-13.7614,0.26383,AG
PS,26,-40.0057,-13.539,-13.5378,0.19927,AG
PS,27,-39.9978,-13.7589,-13.7595,0.27426,AG
PS,28,-40.0031,-14.0921,-14.0914,0.21861,AG
PS,29,-39.9961,-13.8967,-13.8978,0.26709,AG
PS,30,-40.013,-13.6623,-13.6599,0.18454,AG
PS,32,-40.0096,-13.8159,-13.8141,0.198,AG
PS,33,-40.0028,-13.7491,-13.7484,0.23023,AG
PS,34,-40.0027,-13.6286,-13.6279,0.28773,AG
PS,35,-40.0048,-13.3647,-13.3635,0.23838,AG
PS,36,-39.9954,-13.5081,-13.509,0.19463,AG
PS,37,-40.0059,-13.5039,-13.5026,0.20711,AG
PS,38,-39.996,-13.691,-13.6919,0.2213,AG
PS,39,-39.9987,-13.4193,-13.4196,0.20624,AG
PS,40,-40.0019,-13.7605,-13.76,0.23328,AG
PS,28,-40.0019,-13.2584,-13.2581,0.19937,AG
PS,30,-39.9994,-13.4627,-13.4628,0.15652,AG
PS,31,-40.0013,-13.6204,-13.6202,0.15314,AG
PS,32,-39.9995,-13.588,-13.588,0.12708,AG
PS,33,-39.9993,-13.824,-13.8242,0.1896,AG
PS,36,-39.9968,-13.4124,-13.4128,0.14823,AG
PS,37,-40.0063,-13.476,-13.4749,0.1661,AG
PS,38,-40.0067,-13.6256,-13.6245,0.16945,AG
PS,39,-40.003,-13.5138,-13.5133,0.16958,AG
PS,40,-39.9966,-13.4663,-13.4667,0.13806,AG
PS,41,-40.0032,-13.5092,-13.5088,0.15055,AG
PS,42,-40.0078,-13.9184,-13.9173,0.13333,AG
PS,45,-40.0095,-13.3235,-13.322,0.14915,AG
PS,46,-39.9996,-13.7215,-13.7215,0.15634,AG
PS,49,-39.9982,-13.4492,-13.4495,0.14174,AG
PS,50,-40.0067,-13.4488,-13.4478,0.14378,AG
PS,51,-39.9989,-13.6743,-13.6744,0.12773,AG
PS,52,-39.9966,-13.2574,-13.2579,0.15153,AG
PS,53,-39.9982,-13.5265,-13.5267,0.15263,AG
