Ficheiro FMGT   : SSMF: DataModelBS.txt
DimePatch       : 30 pings
IntervAngularARC: 25° to 55°
ResolAngular    : 0.5°
AngIntercept   : 40°
#----------------------------------------------#
BORDO,NUM_PATCH,ANG_MEDIO,BS_MEDIO,INTERC,SLOPE,CLASSE
PS,14,-40.0035,-22.2076,-22.2068,0.22927,AF
PS,15,-40.0033,-22.5764,-22.5756,0.26252,AF
PS,16,-40.0049,-22.3872,-22.3855,0.33828,AF
PS,17,-40.0073,-22.924,-22.9216,0.32572,AF
PS,18,-39.9996,-23.2604,-23.2605,0.42075,AF
PS,19,-40.0091,-23.8287,-23.8254,0.36889,AF
PS,20,-40.0013,-24.2629,-24.2625,0.33551,AF
PS,21,-40.0078,-24.4467,-24.4436,0.39826,AF
PS,22,-40.0008,-24.6097,-24.6094,0.37673,AF
PS,30,-40.0022,-16.1187,-16.1185,0.086411,AM
PS,31,-40.0061,-16.2332,-16.2328,0.067997,AM
PS,32,-40.0011,-16.7968,-16.7967,0.090899,AM
PS,33,-40.0052,-16.8519,-16.8516,0.048359,AM
PS,34,-40.0039,-16.9668,-16.9666,0.040914,AM
PS,35,-40.0083,-17.0336,-17.0329,0.090041,AM
PS,36,-40.0082,-17.1567,-17.156,0.085825,AM
PS,37,-40.0016,-17.491,-17.4909,0.070659,AM
PS,38,-40.0086,-17.9854,-17.9849,0.062781,AM
PS,43,-40.0043,-14.3382,-14.338,0.058918,AM
PS,44,-40.007,-14.0829,-14.0826,0.031097,AM
PS,45,-40.0049,-14.3418,-14.3413,0.095778,AM
PS,46,-40.0072,-14.2959,-14.2951,0.1041,AM
PS,47,-40.0038,-14.6774,-14.6771,0.069524,AM
PS,48,-40.0081,-14.3952,-14.3949,0.044378,AM
PS,49,-39.9922,-14.5235,-14.5239,0.054972,AM
PS,50,-39.9977,-14.7785,-14.7787,0.091188,AM
PS,60,-40.0019,-22.7931,-22.7926,0.27334,AF
PS,61,-40.0137,-22.4312,-22.4271,0.29964,AF
PS,62,-40.0085,-22.9263,-22.9243,0.23781,AF
PS,63,-40.0045,-22.462,-22.4608,0.27313,AF
PS,64,-40.0083,-23.0052,-23.0034,0.21548,AF
PS,65,-40.0019,-22.8567,-22.8561,0.33864,AF
PS,66,-40.0068,-22.6929,-22.6907,0.32476,AF
PS,67,-40.0041,-22.4415,-22.44,0.35539,AF
PS,68,-40.0029,-22.4294,-22.4285,0.30657,AF
PS,69,-40.0076,-22.5016,-22.499,0.33741,AF
PS,70,-39.9991,-22.8282,-22.8285,0.30526,AF
PS,11,-40.0008,-20.2496,-20.2495,0.19257,AM
PS,12,-39.9983,-20.7901,-20.7906,0.26681,AM
PS,13,-40.0031,-21.3034,-21.3026,0.26821,AM
PS,14,-40.0056,-20.3108,-20.3094,0.23583,AM
PS,15,-40.0013,-20.8342,-20.8339,0.21985,AM
PS,21,-39.9999,-21.433,-21.4331,0.32784,AM
PS,22,-40.0054,-20.1976,-20.1958,0.32941,AM
PS,23,-39.9997,-22.3731,-22.3732,0.31214,AM
PS,24,-40.0004,-21.6237,-21.6236,0.31928,AM
PS,35,-40.0019,-24.9529,-24.9522,0.38959,AF
PS,36,-39.9993,-25.4421,-25.4424,0.35604,AF
PS,37,-40.0085,-25.0558,-25.052,0.44438,AF
PS,38,-39.9972,-24.6806,-24.6816,0.38964,AF
PS,39,-40.0044,-24.7167,-24.7151,0.35423,AF
PS,40,-39.9975,-24.02,-24.0208,0.3238,AF
PS,41,-40.0103,-24.1369,-24.1332,0.36398,AF
PS,42,-39.9981,-24.1228,-24.1235,0.31692,AF
PS,43,-40.0026,-25.0023,-25.0016,0.29572,AF
PS,44,-40.0001,-26.17,-26.17,0.26709,AF
PS,45,-39.9988,-26.2271,-26.2276,0.43104,AF
PS,46,-39.9983,-25.237,-25.2376,0.35211,AF
PS,47,-40.0005,-23.4056,-23.4055,0.26545,AF
PS,48,-40.0082,-23.7717,-23.7695,0.26938,AF
PS,49,-40.0002,-23.4662,-23.4661,0.26527,AF
PS,50,-40.0044,-24.2362,-24.2351,0.2557,AF
PS,51,-39.9983,-24.3476,-24.348,0.21299,AF
PS,52,-40.0005,-25.7407,-25.7405,0.22128,AF
PS,54,-40.0006,-15.2036,-15.2036,0.10198,AG
PS,55,-40.0093,-15.2583,-15.2571,0.13098,AG
PS,79,-39.9994,-19.3673,-19.3673,0.12814,AM
PS,80,-40.0017,-18.7428,-18.7427,0.07796,AM
PS,81,-40.0008,-18.6323,-18.6322,0.11766,AM
PS,82,-40.0028,-18.1246,-18.1243,0.12061,AM
PS,83,-40.0018,-17.5594,-17.5592,0.09737,AM
PS,84,-39.9963,-16.708,-16.7081,0.034617,AM


